"","id","age","distr","score"
"1","A","young","l",8
"2","A","young","m",5
"3","A","young","h",3
"4","B","young","l",7
"5","B","young","m",6
"6","B","young","h",6
"7","C","young","l",8
"8","C","young","m",7
"9","C","young","h",6
"10","D","young","l",7
"11","D","young","m",5
"12","D","young","h",4
"13","E","old","l",6
"14","E","old","m",5
"15","E","old","h",2
"16","F","old","l",5
"17","F","old","m",5
"18","F","old","h",4
"19","G","old","l",5
"20","G","old","m",4
"21","G","old","h",3
"22","H","old","l",6
"23","H","old","m",3
"24","H","old","h",2
