"","Format","Subject","Satisfaction"
"1","Online","Statistics",10
"2","Online","Statistics",9
"3","Online","Statistics",8
"4","Online","English",7
"5","Online","English",6
"6","Online","English",5
"7","Online","Science",4
"8","Online","Science",3
"9","Online","Science",2
"10","Hybrid","Statistics",9
"11","Hybrid","Statistics",8
"12","Hybrid","Statistics",7
"13","Hybrid","English",6
"14","Hybrid","English",5
"15","Hybrid","English",4
"16","Hybrid","Science",3
"17","Hybrid","Science",2
"18","Hybrid","Science",1
"19","Classroom","Statistics",8
"20","Classroom","Statistics",7
"21","Classroom","Statistics",6
"22","Classroom","English",5
"23","Classroom","English",4
"24","Classroom","English",3
"25","Classroom","Science",2
"26","Classroom","Science",1
"27","Classroom","Science",0
